Fold,Sample Code,Prediction,Ground Truth,Closest_1 hid(gt) distance,Closest_2 hid(gt) distance,Closest_3 hid(gt) distance
1,H21,0,0,H23 (0) 0.0006,H24 (0) 0.0025,H15 (0) 0.0035
1,H22,0,0,H15 (0) 0.0054,H24 (0) 0.0064,H23 (0) 0.0095
1,H25,0,0,H24 (0) 0.0078,H15 (0) 0.0078,H23 (0) 0.0082
1,H34,1,1,H19 (1) 0.0197,J3 (1) 0.0251,H39 (0) 0.0251
1,H35,0,0,H38 (0) 0.0069,H36 (0) 0.0097,H11 (0) 0.0109
1,J7,0,1,H4 (0) 0.0226,H11 (0) 0.0331,H38 (0) 0.0348
2,H10,1,1,J3 (1) 0.0101,H28 (1) 0.0230,H9 (0) 0.0254
2,H12,0,1,H5 (0) 0.0118,H11 (0) 0.0180,H29 (1) 0.0213
2,H13,0,0,H5 (0) 0.0255,H29 (1) 0.0292,H11 (0) 0.0321
2,H18,0,0,H35 (0) 0.0135,H34 (1) 0.0164,H36 (0) 0.0201
2,H32,0,0,H39 (0) 0.0054,H22 (0) 0.0110,H25 (0) 0.0111
2,H40,0,0,H38 (0) 0.0066,H31 (0) 0.0095,J5 (1) 0.0121
2,J10,1,0,H9 (0) 0.0141,J7 (1) 0.0180,J3 (1) 0.0184
3,H1,0,0,H15 (0) 0.0004,H21 (0) 0.0009,H24 (0) 0.0009
3,H4,0,0,H32 (0) 0.0069,H26 (0) 0.0077,H36 (0) 0.0079
3,H9,1,0,J10 (0) 0.0193,H12 (1) 0.0369,H29 (1) 0.0517
3,H23,0,0,H21 (0) 0.0000,H24 (0) 0.0001,H22 (0) 0.0002
3,H31,0,0,H15 (0) 0.0019,H22 (0) 0.0019,H24 (0) 0.0019
3,H38,0,0,H39 (0) 0.0028,H34 (1) 0.0065,H36 (0) 0.0079
3,J3,1,1,J5 (1) 0.0076,H29 (1) 0.0103,H32 (0) 0.0105
4,H5,0,0,H35 (0) 0.0195,J10 (0) 0.0217,H13 (0) 0.0232
4,H28,1,1,H18 (0) 0.0164,H19 (1) 0.0244,H12 (1) 0.0286
4,H39,0,0,H26 (0) 0.0010,H36 (0) 0.0013,H4 (0) 0.0022
4,J5,0,1,J10 (0) 0.0036,H13 (0) 0.0083,H35 (0) 0.0196
5,H11,1,0,J3 (1) 0.0051,H35 (0) 0.0080,H34 (1) 0.0088
5,H15,0,0,H21 (0) 0.0003,H22 (0) 0.0004,H23 (0) 0.0004
5,H19,1,1,J7 (1) 0.0089,J5 (1) 0.0100,J10 (0) 0.0239
5,H24,0,0,H21 (0) 0.0016,H22 (0) 0.0017,H23 (0) 0.0017
5,H26,0,0,H39 (0) 0.0132,H32 (0) 0.0177,H5 (0) 0.0211
5,H29,1,1,H35 (0) 0.0061,H28 (1) 0.0075,H34 (1) 0.0095
5,H36,0,0,H4 (0) 0.0075,H31 (0) 0.0096,H39 (0) 0.0110
