Fold,Sample Code,Prediction,Ground Truth,P0,P1,P2,P3,P4
1,H17,2,1,0.227066,0.21299022,0.3075211,0.2524227
1,H21,2,4,0.25677544,0.22075857,0.31953013,0.20293584
1,H22,2,3,0.234331,0.19106176,0.33456057,0.24004668
1,H25,1,2,0.20177118,0.36291066,0.20776297,0.22755516
1,H34,2,1,0.23524562,0.23461197,0.31489265,0.21524978
1,H35,1,3,0.21101658,0.29252183,0.2738562,0.2226054
1,J7,3,2,0.2650772,0.20597582,0.25378534,0.27516165
2,H10,3,2,0.16815247,0.19731008,0.21417391,0.26597244,0.15439112
2,H12,1,1,0.17411359,0.2421931,0.20693572,0.23383991,0.1429177
2,H13,1,0,0.20821436,0.23409435,0.23290859,0.17053328,0.15424937
2,H18,0,2,0.23459685,0.20027801,0.22704852,0.17551267,0.16256396
2,H32,1,2,0.17888597,0.3010046,0.1890667,0.16886695,0.16217579
2,H40,0,0,0.24551709,0.20943604,0.20869315,0.18654135,0.14981242
2,J10,1,1,0.15593256,0.29904622,0.23527043,0.17381066,0.13594016
3,H1,1,0,0.18543711,0.23867956,0.21071291,0.19165982,0.17351061
3,H4,1,2,0.17987047,0.23498605,0.2254381,0.18611513,0.17359024
3,H9,2,2,0.1838378,0.2079245,0.257998,0.18862996,0.16160972
3,H23,1,2,0.15045913,0.24803957,0.2258861,0.22222158,0.15339357
3,H31,2,3,0.17936586,0.21948266,0.24384372,0.1897551,0.16755272
3,H38,2,1,0.17998347,0.21786554,0.2559238,0.18227118,0.16395603
3,J3,2,3,0.19690928,0.23426878,0.23467733,0.1917545,0.14239013
4,H5,2,2,0.17799394,0.20245212,0.24577263,0.22381344,0.1499679
4,H28,2,3,0.22863138,0.21898125,0.24951926,0.16780502,0.13506314
4,H30,2,1,0.19867079,0.23863901,0.2390293,0.16681972,0.15684116
4,H39,0,0,0.3494742,0.1437282,0.23422733,0.14914015,0.12343017
4,J5,0,1,0.2984902,0.22695848,0.197706,0.14168341,0.13516192
5,H11,0,0,0.25889483,0.17347737,0.20730203,0.20858315,0.1517426
5,H15,1,1,0.16553035,0.25385052,0.22509165,0.20782334,0.14770415
5,H24,2,3,0.15827213,0.15466687,0.36111322,0.18746778,0.13847996
5,H26,2,2,0.21494754,0.19953932,0.28176403,0.16731663,0.13643248
5,H29,2,2,0.2070161,0.21685964,0.23605473,0.20074086,0.13932866
5,H36,1,0,0.21922281,0.26254398,0.20916246,0.17295542,0.13611533
